layer,expert,target_delta_nll,control_delta_nll,causal_specificity,target_relative_delta,control_relative_delta,causal_relative_specificity,renorm_target_delta_nll,renorm_control_delta_nll,renorm_causal_specificity,renorm_target_relative_delta,renorm_control_relative_delta,renorm_causal_relative_specificity,ci_2.5,ci_97.5,p_positive
27,70,0.003912466578185558,0.0007699525449424982,0.0033350021694786847,0.002182424344461076,0.00034451352855915734,0.001924039198041708,0.0042783175595104694,-0.007555563934147358,0.0042783175595104694,0.002386500742848802,-0.003380720030481635,0.002386500742848802,-0.00809835212305188,0.009888756066560743,0.6784
23,213,0.00039932847721502185,0.009423401206731796,-0.006668222427833825,0.0002227505775946594,0.004216479602651677,-0.0029396091243940985,0.0019473349675536156,-0.0035953372716903687,0.0019473349675536156,0.0010862485736505038,-0.0016087255480437528,0.0010862485736505038,-0.02269655054435134,0.007147621322423209,0.1828
6,169,0.013759881258010864,0.007375297602266073,0.00822840805631131,0.007675439325619298,0.0033000602671172893,0.005200394125281331,0.014000746421515942,0.013430488295853138,0.003927880199626088,0.007809797021988391,0.006009441677243085,0.0033027157640560774,-0.02777605563029647,0.03629415237903594,0.6478
19,155,-0.005613856483250856,0.009119509719312191,-0.012453488772735,-0.0031314815885377357,0.004080504042446421,-0.006191859620372551,-0.015176099725067616,0.004554577637463808,-0.01859203295316547,-0.008465424261672959,0.002037935484837539,-0.009993875875301112,-0.04203915277123452,0.0102007155418396,0.1522
13,173,0.02096429653465748,-0.006385515443980694,0.02096429653465748,0.011694155133960485,-0.0028571844741925962,0.011694155133960485,-0.00026615618844516575,0.01242353767156601,-0.009583809442119673,-0.0001484653564404584,0.005558883892952739,-0.0043176282761550125,-0.010033484879881144,0.04123730322718619,0.9132
22,241,-0.005679809954017401,0.0005782443331554532,-0.006113493203883991,-0.0031682712856063713,0.00025873412185370437,-0.0033623218769966495,0.007650051265954971,0.004941168241202831,0.003944175085052848,0.004267297313741697,0.0022109145779995627,0.0026091113802420253,-0.022362934421747922,0.005753609929233781,0.1362
28,72,-0.0010543465614318848,0.009303673170506954,-0.0080321014393121,-0.0005881281174381034,0.004162907563052328,-0.0037103087897273498,0.0008145105675794184,0.005370131693780422,-0.0032130882027558982,0.0004543445051818213,0.002402853306744802,-0.0013477954748767802,-0.0184756120108068,0.002503251297399395,0.0654
37,46,-0.000257183302892372,-0.00034120649797841907,-0.000257183302892372,-0.00014346016509143432,-0.00015267207746503007,-0.00014346016509143432,0.0023655605036765337,-0.000771984166931361,0.0023655605036765337,0.0013195401745549225,-0.00034542257323298686,0.0013195401745549225,-0.00407846686989069,0.0024731238298118085,0.37
30,229,-0.04258907213807106,0.014798382297158241,-0.05368785886093974,-0.023756734015409894,0.0066215027609813305,-0.02872286108614589,-0.041951924562454224,0.010231604799628258,-0.04962562816217542,-0.023401324875867695,0.0045781084762905625,-0.02683490623308562,-0.09767324217967689,-0.010975442549213772,0.0066
25,168,0.1600451022386551,0.09092985838651657,0.09184770844876766,0.08927522327855575,0.040686359919055594,0.05876045333926405,0.1308075338602066,0.07202603667974472,0.07678800635039806,0.0729661303503899,0.03222788755964604,0.04879521468065537,0.031801567915827035,0.15303123550117012,0.9992
24,153,0.036378271877765656,0.09562250226736069,-0.03533860482275486,0.020292269484964813,0.04278607283289742,-0.01179728513970825,0.03250669315457344,0.07071283459663391,-0.020527932792901993,0.018132652913643018,0.03164029825127181,-0.00559757077481084,-0.1047397139016539,0.02855959548056123,0.1464
23,28,0.03228778764605522,0.05206955596804619,-0.00676437932997942,0.0180105445961968,0.023298405304186406,0.0005367406180569953,0.0542709156870842,0.052174922078847885,0.015139724127948284,0.030273017091590256,0.02334555113266803,0.012763853742089236,-0.06474319270998238,0.04553934682719406,0.411
29,194,-0.017682410776615143,0.0239833015948534,-0.035669886972755194,-0.009863476908099869,0.010731274171654927,-0.017911932536841063,-0.01179576851427555,0.016340142115950584,-0.02405087510123849,-0.006579831891911301,0.007311359712363374,-0.012063351676183831,-0.08919828861765562,0.012860504733398536,0.08
26,134,-0.09571041166782379,0.0012355861254036427,-0.09663710126187652,-0.05338850269210999,0.000552860223266535,-0.05380314785955989,-0.07326307147741318,0.016420507803559303,-0.08557845233008265,-0.04086708666951715,0.007347319157909762,-0.04637757603794947,-0.1308838076926768,-0.07486625591851771,0.0
36,252,-0.026089448481798172,-0.01009340025484562,-0.026089448481798172,-0.014553031025927643,-0.004516269164635927,-0.014553031025927643,-0.02807835303246975,0.008069566451013088,-0.034130527870729566,-0.015662467649462476,0.00361070929662131,-0.01837049962192846,-0.05768886329978704,-0.006931385576725011,0.0036
34,89,0.08114419132471085,-0.0003158867475576699,0.08114419132471085,0.04526327701968096,-0.00014134281228240643,0.04526327701968096,0.10130264610052109,-0.0009052580571733415,0.10130264610052109,0.056507923221834254,-0.00040505567464120366,0.056507923221834254,0.040641403321176765,0.1228398198969662,1.0
32,227,-0.031232692301273346,0.0006410804344341159,-0.03171350262709893,-0.017421998797743643,0.000286849993558537,-0.017637136292912546,-0.049217596650123596,0.0016927820397540927,-0.050487183179939166,-0.02745421052386592,0.0007574315033153165,-0.028022284151352408,-0.07689528376236558,0.00498504190891981,0.05
