method,family,lr,updates,generation_accuracy,control_abs_shift,target_improvement,trainable_params,control_improvement,specific_gain,selective_target_gain,relative_target_improvement,relative_control_improvement,target_nll,control_nll,parameter_delta_l2,peak_gpu_gib,train_wall_seconds
random_layer_lora,lora,1e-05,1,0.8125,0.010097026824951172,0.0002817511558532715,12533760,-0.010097026824951172,0.010378777980804443,-0.0098152756690979,0.00028939433139746665,-0.00581088060293752,0.9733073115348816,1.747704029083252,0.02398250634158289,63.03687286376953,330.80293440818787
random_layer_lora,lora,1e-05,2,0.8125,0.008110523223876953,0.0017121434211730957,12533760,-0.008110523223876953,0.009822666645050049,-0.006398379802703857,0.0017585894159915867,-0.00466763958325215,0.9718769192695618,1.7457175254821777,0.0392303961565756,63.03687286376953,330.80293440818787
random_layer_lora,lora,1e-05,4,0.765625,0.00634002685546875,0.004543185234069824,12533760,-0.00634002685546875,0.010883212089538574,-0.0017968416213989258,0.004666430024915952,-0.0036487116173155735,0.969045877456665,1.7439470291137695,0.0696873173295387,63.03687286376953,330.80293440818787
random_layer_lora,lora,1e-05,8,0.828125,0.003450155258178711,0.004993438720703125,12533760,-0.003450155258178711,0.008443593978881836,0.001543283462524414,0.0051288977167662725,-0.0019855785880781313,0.9685956239700317,1.7410571575164795,0.13364131285294756,63.03687286376953,330.80293440818787
random_layer_lora,lora,1e-05,16,0.8125,0.0053081512451171875,0.013356208801269531,12533760,0.0053081512451171875,0.008048057556152344,0.008048057556152344,0.013718527983825753,0.0030548629455442963,0.9602328538894653,1.7322988510131836,0.26684945290156675,63.03687286376953,330.80293440818787
random_layer_lora,lora,1e-05,32,0.8125,0.04173421859741211,0.04610550403594971,12533760,0.04173421859741211,0.004371285438537598,0.004371285438537598,0.047356226361589,0.024018215018224348,0.9274835586547852,1.6958727836608887,0.5445678170747916,63.03687286376953,330.80293440818787
random_layer_lora,lora,1e-05,64,0.796875,0.1276226043701172,0.12569499015808105,12533760,0.1276226043701172,-0.0019276142120361328,-0.0019276142120361328,0.1291047680945535,0.07344733544711261,0.8478940725326538,1.6099843978881836,1.0953273812103117,63.03687286376953,330.80293440818787
contrastive_lora,lora,1e-05,0,0.8125,0.0,0.0,12644352,0.0,0.0,0.0,0.0,0.0,0.9735890626907349,1.7376070022583008,,,
contrastive_lora,lora,1e-05,1,0.796875,0.006810426712036133,0.0028995275497436523,12644352,-0.006810426712036133,0.009709954261779785,-0.0039108991622924805,0.0029781841855640286,-0.00391942867586565,0.9706895351409912,1.744417428970337,0.02408792864200122,63.037696838378906,330.2031760215759
contrastive_lora,lora,1e-05,2,0.828125,0.005535125732421875,0.0020508766174316406,12644352,-0.005535125732421875,0.007586002349853516,-0.0034842491149902344,0.0021065115622432903,-0.0031854876995938007,0.9715381860733032,1.7431421279907227,0.038542208689335986,63.037696838378906,330.2031760215759
contrastive_lora,lora,1e-05,4,0.828125,0.0037838220596313477,-0.0005918145179748535,12644352,-0.0037838220596313477,0.003192007541656494,-0.004375636577606201,-0.0006078689055310867,-0.002177605209183469,0.9741808772087097,1.7413908243179321,0.06936681273129452,63.037696838378906,330.2031760215759
contrastive_lora,lora,1e-05,8,0.8125,0.0009762048721313477,0.004042446613311768,12644352,0.0009762048721313477,0.00306624174118042,0.00306624174118042,0.0041521076686497965,0.0005618099322013619,0.9695466160774231,1.7366307973861694,0.1353028923971244,63.037696838378906,330.2031760215759
contrastive_lora,lora,1e-05,16,0.796875,0.015528440475463867,0.019919276237487793,12644352,0.015528440475463867,0.004390835762023926,0.004390835762023926,0.020459634357884365,0.008936681571426769,0.9536697864532471,1.722078561782837,0.27206871940395577,63.037696838378906,330.2031760215759
contrastive_lora,lora,1e-05,32,0.8125,0.061527371406555176,0.06774264574050903,12644352,0.061527371406555176,0.006215274333953857,0.006215274333953857,0.06958032740557583,0.03540925613593317,0.9058464169502258,1.6760796308517456,0.5531449965212074,63.037696838378906,330.2031760215759
contrastive_lora,lora,1e-05,64,0.796875,0.17563045024871826,0.15453308820724487,12644352,0.17563045024871826,-0.02109736204147339,-0.02109736204147339,0.15872516868683542,0.10107604885365802,0.81905597448349,1.5619765520095825,1.0864635276666454,63.037696838378906,330.2031760215759
