layer,expert,target_delta_nll,control_delta_nll,causal_specificity,ci_2.5,ci_97.5,p_positive,renorm_target_delta_nll,renorm_control_delta_nll,renorm_causal_specificity
8,120,-0.028338031843304634,-0.010916715487837791,-0.028338031843304634,-0.06395120429992675,-0.0002067286968231425,0.0244,,,
33,150,-0.012004158459603786,-0.0035004245582967997,-0.012004158459603786,-0.027235153406858444,-0.00022183763980865607,0.0232,,,
25,58,-0.03455695882439613,-0.049067214131355286,-0.03455695882439613,-0.0668900443315506,-0.0021678729653358698,0.017,,,
8,18,-0.04157206416130066,-0.006366587709635496,-0.04157206416130066,-0.08861367923021315,-0.00470059528946879,0.014,,,
38,157,-0.000870718969963491,9.999871508625802e-06,-0.0008782188735949603,-0.00257802164554596,-2.4631135165691406e-06,0.0138,,,
38,58,-0.00014201164594851434,4.429817181517137e-06,-0.0001453340088346522,-0.00042785289883613583,-1.850128173828125e-06,0.0108,,,
16,46,-0.050630465149879456,0.0002505510929040611,-0.0508183784695575,-0.1084753918647766,-0.006975544512271956,0.0108,,,
25,144,-0.005692331586033106,0.006341293919831514,-0.010448302025906742,-0.02157681762613356,-0.0012608196809887966,0.0102,,,
33,87,-0.012421350926160812,-0.0005705266958102584,-0.012421350926160812,-0.025631552815437317,-0.002047187328338642,0.01,,,
36,130,-0.00856905709952116,0.000449973187642172,-0.008906536990252789,-0.02023124160338193,-0.0015942144440487303,0.0082,,,
27,155,-0.032715555280447006,-0.03458542749285698,-0.032715555280447006,-0.062112403452396395,-0.006984749853611055,0.007,,,
33,44,-0.011011135764420033,-0.0012491227826103568,-0.011011135764420033,-0.02392738309688866,-0.0024408100843429596,0.0062,,,
33,9,-0.007686109747737646,-0.0034972368739545345,-0.007686109747737646,-0.016028268337249754,-0.0015685554537922146,0.005,,,
24,110,-0.04956090822815895,-0.033678147941827774,-0.04956090822815895,-0.08945216345787048,-0.012121522903442391,0.0042,,,
38,95,-0.005509498063474894,-0.00247885356657207,-0.005509498063474894,-0.010914619028568268,-0.0014624850153923052,0.0014,,,
16,14,-0.07017265260219574,0.021216530352830887,-0.0860850503668189,-0.14629744353983554,-0.028128996565006704,0.0006,,,
36,94,-0.00901735108345747,-0.021611910313367844,-0.00901735108345747,-0.015628444671630857,-0.0036497250795364438,0.0002,,,
27,53,0.0,0.0,0.0,0.0,0.0,0.0,,,
38,90,0.0,0.0,0.0,0.0,0.0,0.0,,,
38,188,0.0,0.0,0.0,0.0,0.0,0.0,,,
16,243,0.0,0.0,0.0,0.0,0.0,0.0,,,
16,187,0.0,0.0,0.0,0.0,0.0,0.0,,,
16,68,0.0,0.0,0.0,0.0,0.0,0.0,,,
16,25,0.0,0.0,0.0,0.0,0.0,0.0,,,
24,137,0.0,0.0,0.0,0.0,0.0,0.0,,,
8,2,0.0,0.0,0.0,0.0,0.0,0.0,,,
38,43,-8.583069188716763e-08,-0.0004507762205321342,-8.583069188716763e-08,-0.0017579149156808852,0.0,0.0,,,
36,204,-9.91821252682712e-07,7.629394360719743e-08,-1.04904171038811e-06,-4.08172607421875e-06,0.0,0.0,,,
38,129,-1.516342194918252e-06,3.52859501617786e-07,-1.7809868211315916e-06,-5.049705505371094e-06,0.0,0.0,,,
