layer,expert,panel_group,global_target_grad_bf16,global_control_grad_bf16,global_grad_specific_bf16,global_grad_ratio_bf16,scan_peak_gpu_gib,selection_supervised_positions,selection_supervised_selected_hits,selection_supervised_selected_rate,selection_supervised_routing_mass,routing_rank,global_target_grad_rank,global_grad_specific_rank
21,210,population_random,0.0250268820673227,0.0358915813267231,-0.0018918039277195,0.6972911513372542,64.8782606124878,681,0,0.0,0.0,8459,4099,4942
36,160,population_random,0.0,0.0,0.0,0.0,64.8782606124878,681,0,0.0,0.0,9733,8557,3615
5,137,population_random,0.0720196664333343,0.051631886512041,0.0332957515493035,1.394868003034205,64.8782606124878,681,28,0.0411160058737151,0.0047953377386196,2161,2014,1244
23,227,population_random,0.0206410773098468,0.0614978596568107,-0.0254823174327611,0.3356389543424587,64.8782606124878,681,20,0.0293685756240822,0.0033541551945668,2731,4471,7490
26,2,population_random,0.0949792563915252,0.180713340640068,-0.0405557490885257,0.5255796614383472,64.8782606124878,681,0,0.0,0.0,8858,1586,8044
3,202,population_random,0.1163245812058448,0.1253961473703384,0.022277470678091,0.9276567394161662,64.8782606124878,681,1,0.0014684287812041,0.0001398162169603,6476,1291,1556
7,7,population_random,0.0,0.0091895433142781,-0.0068921574857085,0.0,64.8782606124878,681,1,0.0014684287812041,0.0001649114353891,6322,8557,5847
10,147,population_random,0.0218514446169137,0.0418201871216297,-0.0095136957243084,0.5225094893248231,64.8782606124878,681,8,0.0117474302496328,0.0009708264500734,4744,4351,6206
28,198,population_random,0.0,0.0085487700998783,-0.0064115775749087,0.0,64.8782606124878,681,0,0.0,0.0,9102,8557,5791
25,168,sentinel,3.484094381332397,3.991197109222412,0.4906965494155884,0.8729447045551493,64.8782606124878,681,50,0.0734214390602055,0.0180384430066079,480,1,54
24,153,sentinel,3.13029146194458,3.727071046829224,0.3349881768226623,0.8398797400459567,64.8782606124878,681,89,0.1306901615271659,0.0229915221182085,325,2,121
28,149,sentinel,3.0048859119415283,3.0529894828796387,0.7151437997817993,0.984243780986195,64.8782606124878,681,84,0.1233480176211453,0.0257864124449339,277,3,19
23,28,sentinel,2.9576575756073,3.387319326400757,0.4171680808067322,0.8731558175086866,64.8782606124878,681,121,0.1776798825256975,0.0364041993621512,152,4,74
28,138,sentinel,2.950913429260254,1.434509515762329,1.875031292438507,2.0570887797074096,64.8782606124878,681,73,0.1071953010279001,0.0199091122889133,407,5,1
18,43,sentinel,2.886381864547729,2.962690830230713,0.6643637418746948,0.974243358468148,64.8782606124878,681,105,0.1541850220264317,0.0309861417033773,216,6,29
