layer,expert,target_delta_nll,control_delta_nll,causal_specificity,renorm_target_delta_nll,renorm_control_delta_nll,renorm_causal_specificity,ci_2.5,ci_97.5,p_positive
2,155,0.0,0.0,0.0,-0.025547320023179054,-0.01517431065440178,-0.025547320023179054,0.0,0.0,0.0
34,179,-0.007750651799142361,-0.0018613624852150679,-0.007750651799142361,-0.003522901562973857,0.0009167873649857938,-0.004210492086713202,-0.02112674129009247,0.0018142895847558951,0.0558
4,22,0.01795326918363571,-0.02413465455174446,0.01795326918363571,0.017251694574952126,-0.03182568401098251,0.017251694574952126,-0.06398406108561902,0.08716553163528441,0.6324
28,234,-0.0028311563655734062,-0.005322660319507122,-0.0028311563655734062,0.0023127817548811436,-0.005421904381364584,0.0023127817548811436,-0.02696472246013582,0.017664395868778184,0.3634
23,119,-0.027981888502836227,-0.04162423312664032,-0.027981888502836227,-0.03635985776782036,-0.04979147017002106,-0.03635985776782036,-0.061990791499614714,0.0076562854647635814,0.0626
38,210,0.016305631026625633,-3.384113369975239e-05,0.016305631026625633,0.022178107872605324,0.0005885505815967917,0.02173669493640773,-0.007316298723220825,0.04958895003795622,0.8686
34,174,0.021731020882725716,0.0039252410642802715,0.018787090084515512,0.02513030357658863,-0.0004522125527728349,0.02513030357658863,-0.04480958202760667,0.10715216196421525,0.6532
4,248,-0.027240470051765442,0.030735425651073456,-0.050292039290070534,-0.017658455297350883,-0.008339316584169865,-0.017658455297350883,-0.13177990049123764,0.01954983004648237,0.0824
36,111,-0.0005161333247087896,0.002913715550675988,-0.0027014199877157807,0.0013792228419333696,3.842726437142119e-05,0.0013504023936548037,-0.008223559459671377,0.0016841914057731595,0.1264
36,229,1.280375361442566,0.4886748492717743,0.9138692244887352,1.3010811805725098,0.5282308459281921,0.9049080461263657,0.42437346767634154,1.4297102793753145,1.0
29,194,-0.07767787575721741,0.01819213107228279,-0.0913219740614295,-0.18868644535541534,0.00791480578482151,-0.19462254969403148,-0.18675538055133073,-0.012904929965734583,0.009
25,168,0.1544191539287567,0.13741116225719452,0.051360782235860825,0.055067118257284164,0.04455437511205673,0.021651336923241615,-0.05229838789068163,0.15241776358522466,0.8314
30,229,0.09899327903985977,0.035096824169158936,0.07267066091299057,0.10880647599697113,0.04526325315237045,0.07485903613269329,-0.0038880511382594738,0.14117266773991283,0.9688
30,66,-0.18923501670360565,-0.15285000205039978,-0.18923501670360565,-0.04496137797832489,-0.006132208276540041,-0.04496137797832489,-0.27003814828395845,-0.10624168896675112,0.0
36,95,0.018586743623018265,-0.004808240104466677,0.018586743623018265,0.057975925505161285,0.009242366999387741,0.05104415025562048,-0.024687459826469423,0.05895292872190475,0.7982
24,153,0.14040260016918182,0.07968799769878387,0.08063660189509392,0.13924899697303772,0.09123549610376358,0.07082237489521503,-0.042838576123118394,0.1993799619260242,0.8986
30,195,-0.16449640691280365,-0.148722305893898,-0.16449640691280365,-0.026295434683561325,-0.04678186774253845,-0.026295434683561325,-0.23464913606643678,-0.09366723787784582,0.0
26,134,-0.11101605743169785,-0.02437579073011875,-0.11101605743169785,-0.05664048343896866,0.021153222769498825,-0.07250540051609278,-0.19672020484972744,-0.0356556466650218,0.0026
21,82,0.016667526215314865,0.044527288526296616,-0.016727940179407597,0.07909999787807465,0.043019380420446396,0.04683546256273985,-0.11863981279311701,0.07500668146181846,0.3642
29,250,-0.030270421877503395,-0.011866768822073936,-0.030270421877503395,-0.0820404440164566,-0.06428982317447662,-0.0820404440164566,-0.10695285497047007,0.027565313518047325,0.153
23,28,0.10704055428504944,0.15076680481433868,-0.006034549325704575,0.09965749084949493,0.16493108868598938,-0.0240408256649971,-0.10571347903274,0.09560721924901004,0.4472
35,124,-0.11379662156105042,-0.08048487454652786,-0.11379662156105042,-0.05035599321126938,-0.03824068605899811,-0.05035599321126938,-0.1772115244269371,-0.052908747553825436,0.0
33,1,0.014603917486965656,-0.004619918763637543,0.014603917486965656,0.005022475495934486,0.0021913109812885523,0.003378992259968072,-0.04714520030841231,0.08151303941011423,0.6624
16,59,0.07585054636001587,-0.013861383311450481,0.07585054636001587,0.014438774436712265,0.005021922755986452,0.010672332369722426,-0.0423486103862524,0.18255935615301133,0.8982
31,70,0.051971010863780975,-0.008048885501921177,0.051971010863780975,0.10802902281284332,-0.016975630074739456,0.10802902281284332,-0.01375815236568451,0.1271860606670379,0.9368
35,22,-0.03634418174624443,-0.0054895891807973385,-0.03634418174624443,0.020181462168693542,-0.00042262315400876105,0.020181462168693542,-0.06535668152570724,-0.008916034316644077,0.0038
29,136,0.02082701213657856,-0.005333598703145981,0.02082701213657856,0.015794584527611732,-0.0006219411152414978,0.015794584527611732,-0.03902290377579629,0.08210366919077931,0.7268
34,146,0.014861187897622585,0.003341486444696784,0.012355073064099997,0.04109960421919823,0.0008130906498990953,0.040489786231773905,-0.016788550857454534,0.04508475399017333,0.7654
23,216,-0.11074366420507431,-0.01281283050775528,-0.11074366420507431,-0.12572002410888672,-0.0077043864876031876,-0.12572002410888672,-0.18521382614970205,-0.0490117291994393,0.0002
38,168,0.02050056681036949,-0.0021812685299664736,0.02050056681036949,0.006591830402612686,-0.002152823843061924,0.006591830402612686,-0.04889977866411209,0.13162042027711854,0.608
34,152,-0.013072168454527855,-0.00447794608771801,-0.013072168454527855,-0.01265015359967947,0.002515643136575818,-0.014536885952111334,-0.03710842412523925,0.005245404064655277,0.0908
28,93,-0.03023136407136917,-0.05453985184431076,-0.03023136407136917,-0.03439389169216156,-0.06129353865981102,-0.03439389169216156,-0.09632645243406296,0.0405492873191833,0.201
3,29,-0.05020112544298172,-0.019858837127685547,-0.05020112544298172,-0.026371397078037262,0.013593927957117558,-0.03656684304587543,-0.13363495703972875,0.01951828002929687,0.0802
